ID,NOMESC,ENDESC,NUMESC,COMPLEND,CEP,FONE1,FONE2,FAX,E-Mail,CODESCMEC,TIPO
1154,CLOVIS RENE CALABREZ PROF,R FREGUESIA DA CACHOEIRA,77,V P OUTUBRO,08441-100,+55 11 2035-1924,,+55 11 2035-1924,e906165a@educacao.sp.gov.br,35906165,EE
1155,ADONIRAN BARBOSA EMEI,RUA DOS PEDREIROS,167,,08471-330,+55 11 2516-0378,+55 11 2282-2176,+55 11 2282-2123,,35091431,EMEI
1156,LAJEADO CEU,R MANUEL DA MOTA COUTINHO,294,,08451-420,,,,,35455507,CEU CLEC
1157,ODUVALDO VIANNA FILHO EMEI,AV UTARO KANAI,216,,08465-000,+55 11 2555-7092,+55 11 2555-2651,+55 11 2555-2651,,35092757,EMEI
1158,FERNANDO PESSOA,RUA PADRE ALDEMAR MOREIRA,200,,08471-010,+55 11 2282-0218,+55 11 2964-2256,+55 11 2282-0218,e904284a@educacao.sp.gov.br,35904284,EE
1159,LUIS CARLOS PRESTES SENADOR EMEF,RUA IGARAPE GUARA,90,,08472-120,+55 11 2555-9856,+55 11 2555-2094,,,35068731,EMEF
1160,TITO DE ALENCAR FREI CEI DIRETO,RUA FRANCISCO JOSE VIANA,SN,,08471-533,+55 11 2285-6055,+55 11 2285-6300,+55 11 2282-2257,,35280483,CEI DIRET
1161,VITALINA PIRES MATEUS CRECHE PARTICULAR CONVENIADA,RUA ALVARO DA COSTA,26,,08461-420,+55 11 2555-6301,,,,35306502,CR.P.CONV
1162,ARMANDO GOMES DE ARAUJO PROF,R ALFREDO MOREIRA PINTO,SN,,08110-220,+55 11 2561-4727,+55 11 2963-2031,+55 11 2963-2031,e002926a@educacao.sp.gov.br,35002926,EE
1163,ESPACO AMIGO CENTRO DE EDUCACAO INFANTIL CONVENIADA,RUA CORDAO DE SAO FRANCISCO,1149,,08190-000,+55 11 2581-1620,,,,35431011,CR.P.CONV
1164,AMACIO MAZZAROPI EMEI,RUA ARROIO PORANDUBA,55,,08472-070,+55 11 2555-8437,+55 11 2555-2404,+55 11 2555-8437,,35092733,EMEI
1165,JARDIM SOARES II CEU CEI,R MANUEL DA MOTA COUTINHO,293,,08451-420,+55 11 2153-9852,+55 11 2554-3379,,,35121708,CEU CEI
1166,EDNA ALVES DE SOUZA EMEI,RUA MANUEL DA MOTA COUTINHO,293,,08451-420,+55 11 2153-9562,+55 11 2557-6907,,,35122658,CEU EMEI
1167,LAJEADO CEU EMEF,RUA MANUEL DA MOTA COUTINHO,293,,08451-420,+55 11 2153-9825,,,,35356852,CEU EMEF
1168,ACONCHEGO DO BEBE CENTRO EDUCACAO INFANTIL,R ALFREDO MOREIRA PINTO,349,,08110-220,+55 11 2561-4152,,+55 11 2561-4152,,35417361,CR.P.CONV
1169,CASINHA DA VOVO II CENTRO DE EDUCACAO INFANTIL,R APOSTOLO JUDAS TADEU,8,,08475-510,,,,,35446762,CR.P.CONV
1170,HIGINO PELLEGRINI VEREADOR CRECHE MUNICIPAL,RUA CORDAO DE SAO FRANCISCO,19,,08190-000,+55 11 2586-6007,,,,35237322,CEI DIRET
1171,STAR BABY CENTRO DE RECREACAO INFANTIL,RUA ALTO JURUA,272,,08140-310,+55 11 2568-5026,,,,35432600,EP
1172,BERNARDO SANTANA CENTRO DE EDUCACAO INFANTIL,AV IPE ROXO,255,,08140-200,+55 11 3678-7809,,,,35417348,CR.P.CONV
1173,ESTRELA DO AMANHA CEI INDIRETA,R ALFREDO MOREIRA PINTO,184,,08110-220,,,,,35287301,CR.P.CONV
1174,ARACI ZEBRAL TEIXEIRA,R SERRA DAS ARARAS,180,,08451-050,+55 11 2557-6824,+55 11 2557-5155,+55 11 2557-6824,e914708a@educacao.sp.gov.br,35914708,EE
1175,MONFORTE COLEGIO,PC SILVA TELES,108,110 E 112,08140-010,+55 11 2561-8168,,,,35290993,EP
1176,ABC UNIDA CENTRO DE EDUCACAO INFANTIL,R TORRE DE SANTIAGO,62,,08460-180,+55 11 2553-5508,,,,35409613,CR.P.CONV
1177,UNIVERSO DA CRIANCA CRECHE PARTICULAR CONVENIADA,R FELICIANO DE MENDONCA,18 A,,08460-365,+55 11 2153-6561,,,,35351398,CR.P.CONV
1178,GIORGIO GAGLIANI CAPUTO PADRE,RUA QUIMANGA,40,,08451-060,+55 11 2961-0396,,,e923540a@educacao.sp.gov.br,35923540,EE
1179,ANNA LAMBERGA ZEGLIO VEREADORA EMEF,RUA OLIMPIA MONTANI,231,,08475-320,+55 11 2282-1555,+55 11 2964-9068,,,35074743,EMEF
1180,TIA ZENI CENTRO EDUCACIONAL E RECREATIVO,R FELICIANO DE MENDONCA,75,,08460-365,+55 11 2961-4734,,,,35293660,EP
1181,SONHO DE CRIANCA CENTRO DE EDUCACAO INFANTIL,R ANTONIO GIANNULLO,47,,08471-540,+55 11 3479-3717,,,,35478246,CR.P.CONV
1182,VOVO GRACA CENTRO DE EDUCACAO INFANTIL,R JOAO DA COSTA PIMENTA,236,,08470-390,+55 11 2558-8731,,,,35435284,CR.P.CONV
1183,EDUCA SAO PAULO CEI PARTICULAR CONVENIADA,RUA ANTONIO QUARESMA,61,,08460-200,+55 11 2552-1818,,,,35290178,CR.P.CONV
1184,DULCE SALLES FERRAZ PROFA EMEI,RUA OLIVEIRA ROMA,16,,08475-330,+55 11 2516-0363,+55 11 2282-4147,+55 11 2282-4147,,35074724,EMEI
1185,FABIO AGAZZI,R ALVARO DA COSTA,60,,08461-420,+55 11 2555-9516,+55 11 2555-8125,+55 11 2555-9516,e907029a@educacao.sp.gov.br,35907029,EE
1186,GOLFINHO AZUL CRECHE PARTICULAR CONVENIADA,RUA DO COBRE,57,,08490-003,+55 11 2555-7916,,,,35351404,CR.P.CONV
1187,ARMANDO CRIDEY RIGHETTI EMEF,RUA CORDAO DE SAO FRANCISCO,797,,08190-000,+55 11 2581-0360,,,,35055591,EMEF
1188,SOFIA AVELINO CEI CONVENIADA,R CATARINA CUBAS,771,,08450-350,,,,,35445061,CR.P.CONV
1189,GRANDE VITORIA CEI ANAMIRIAM ABC PARA CRESCER,R ANTONIO CINATI,171,,08471-300,,,,,35438522,CR.P.CONV
1190,GIANFEDERICO PORTA PROF EMEI,RUA TORRE DE SANTIAGO,323,,08460-180,+55 11 2554-4504,+55 11 2557-0634,+55 11 2557-0634,,35087294,EMEI
1191,SATURNINO PEREIRA PROFESSOR,R BERNARDINO ANTUNES,200,,08460-190,+55 11 2557-0540,+55 11 2961-2520,,e909185a@educacao.sp.gov.br,35909185,EE
1192,PAIS E FILHOS,R CACHOEIRA DO BONFIM,129,,08472-390,+55 11 2556-0769,,,,35409601,CR.P.CONV
1193,CURUMIM RAIO DE SOL,R CACHOEIRA DO BONFIM,141,,08472-390,,,,,35288512,CR.P.CONV
1194,ESTRELA AZUL CENTRO DE EDUCACAO INFANTIL,R ALTO JURUA,19,,08140-310,,,+55 11 2025-6067,,35296569,CR.P.CONV
1195,FULVIO ABRAMO,R JOSE ROMEIRO,SN,,08475-350,+55 11 2964-2257,+55 11 2964-8541,,e920265a@educacao.sp.gov.br,35920265,EE
1196,VOVO PAULO EMILIO BOZZO CENTRO DE EDUCACAO INFANTIL,AV MIGUEL ACHIOLE DA FONSECA,509,,08461-110,+55 11 7008-4903,,,,35478398,CR.P.CONV
1197,AMAC I CENTRO DE EDUCACAO INFANTIL,RUA SERRA DAS ARARAS,401,,08451-050,+55 11 2552-4988,+55 11 4675-3711,,,35418286,CR.P.CONV
1198,OLGA BENARIO PRESTES EMEI,RUA IGARAPE FARTURA,195,,08472-400,+55 11 2555-0635,+55 11 2555-0631,+55 11 2555-2615,,35068724,EMEI
1199,TECENDO O SABER CENTRO DE EDUCACAO INFANTIL,RUA APOSTOLO SIMAO PEDRO,458,,08475-260,+55 11 2034-4457,,,,35482407,CR.P.CONV
1200,NOVO AMANHECER ANJO GABRIEL II CENTRO DE EDUCACAO INFANTIL,R APOSTOLO ANDRE,135,,08475-550,+55 11 2282-2689,,,,35482791,CR.P.CONV
1201,MAKIGUTI PROFESSOR ESCOLA TECNICA DE SAUDE PUBLICA,AV DOS METALURGICOS,1945,,08471-000,+55 11 3828-7852,,,,35336579,ET
1202,ELITE CEI,RUA 10 G,158,,08475-280,+55 11 9842-9698,,,,35417294,CR.P.CONV
1203,JORGE LUIS BORGES,R MILAGRE DOS PEIXES,700,,08474-120,+55 11 2282-0266,+55 11 2282-1743,+55 11 2282-0266,e907017a@educacao.sp.gov.br,35907017,EE
1204,DOS INCONFIDENTES CRECHE MUNICIPAL,RUA CONTO DE AREIA,203,,08474-220,+55 11 2282-0855,+55 11 2285-3233,+55 11 2282-0855,,35237644,CEI DIRET
1205,VITTA VIVACE COLEGIO,RUA ENSEADA DAS GAROUPAS,401,,08110-210,+55 11 2561-1655,,,,35158938,EP
1206,JARDIM SOARES II CEI INDIRETA,R BERTOLINIA,228,,08460-170,+55 11 2552-1120,,,,35414025,CEI INDIR
1207,FERNANDO MAURO PIRES DA ROCHA DEPUTADO,R JOSE PINTO,10,,08471-520,+55 11 2282-0868,+55 11 2964-2313,,e907224a@educacao.sp.gov.br,35902724,EE
1208,INACIO MONTEIRO CRECHE MUNICIPAL,RUA CACHOEIRA MORENA,225,,08472-610,+55 11 2555-0520,+55 11 2555-5905,+55 11 2555-8447,,35237361,CEI DIRET
1209,ARRUDA PERSSET COLEGIO,R DA LAGOA DE ESMORIZ,308,,08460-150,+55 11 2557-9907,,,,35198882,EP
1210,ARCO IRIS DO AMOR ESCOLA DE EDUCACAO INFANTIL,R PEDRO SARMENTO,30B,,08110-160,+55 11 6566-2341,,,,35315345,EP
1211,DORACIL DINA BENICIO PROFA EMEI,RUA BIG BOYS,365,,08152-100,+55 11 2561-8038,+55 11 2567-6570,,,35074755,EMEI
1212,THAMY COLEGIO,R TINGOASSUIBA,11,,08451-030,+55 11 2961-3298,+55 11 2691-3298,,,35439745,EP
1213,GERALDO MAGELA IPERON CRECHE MUNICIPAL,RUA SAMOUNA,216,,08460-230,+55 11 2557-9956,,,,35237656,CEI DIRET
1214,JOANA ANGELICA JESUS MADRE EMEF,RUA TORRE DE SANTIAGO,425,,08460-180,+55 11 2554-4504,+55 11 2557-8088,+55 11 2557-5726,,35055220,EMEF
1215,NOSSA SENHORA DO DIVINO PRANTO CEI INDIRETO,AV DOS METALURGICOS,2100,,08471-000,+55 11 2153-7724,+55 11 6170-6173,+55 11 2153-7724,,35353152,CEI INDIR
1216,JARDIM NAZARE CRECHE MUNICIPAL,RUA JOSE FELIPE AMARAL,45,,08151-320,+55 11 2034-0766,+55 11 2511-4824,+55 11 2511-4824,,35237059,CEI DIRET
1217,CHICO FALCONE PADRE EMEF,RUA BRILHO DO SOL,96,,08152-110,+55 11 2567-8457,+55 11 2561-5022,,,35068676,EMEF
1218,SOUZA LOPES COLEGIO,RUA BARENA,177,,08110-320,+55 11 2561-1914,,,,35102180,EP
1219,CESAR DONATO CALABREZ,R INACIO MONTEIRO,1391,,08490-000,+55 11 2555-4058,+55 11 2555-4413,,e902627a@educacao.sp.gov.br,35902627,EE
1220,SAMUEL WAINER EMEI,RUA CONTO DE AREIA,69,,08474-220,+55 11 2282-0440,+55 11 2282-1223,+55 11 2282-0440,,35092770,EMEI
1221,LUIZ ROSANOVA PROFESSOR,AV MIGUEL ACHIOLE DA FONSECA,1447,,08461-110,+55 11 2555-9016,+55 11 2555-3470,+55 11 2555-9016,e003141a@educacao.sp.gov.br,35003141,EE
1222,SELMO MARTINS DOS SANTOS CEI,RUA JOAO CABRAL DE MELO NETO,78,,08485-465,,,,,35444923,CR.P.CONV
1223,MARILIA DE DIRCEU CRECHE MUNICIPAL,RUA LUIS BORDESE,43,,08471-790,+55 11 2282-1211,,+55 11 2282-6722,,35237450,CEI DIRET
1224,LAURINDA RODRIGUES PEREIRA LEITE PROFA,R BENEDITO AQUILINO DE FREITAS,55,,08110-290,+55 11 2561-2954,+55 11 2963-0199,+55 11 2561-2954,e904648a@educacao.sp.gov.br,35904648,EE
1225,ALEXANDRE VANNUCHI LEME EMEF,RUA IGARAPE DA DIANA,60,,08472-170,+55 11 2555-4046,+55 11 2555-5119,+55 11 2555-4046,,35068706,EMEF
1226,PROCEDEU NOVO PANTANAL CENTRO DE EDUCACAO INFANTIL,R LOURENCO DE GODOI,79,,08441-090,+55 11 2032-6107,,,,35441512,CR.P.CONV
1227,ELISA KAUFFMANN ABRAMOVICH EMEI,RUA RENE DE TOLEDO,55,,08471-740,+55 11 2282-0978,+55 11 2516-0370,+55 11 2516-0370,,35092712,EMEI
1228,JOAO XXIII CRECHE,RUA CRUZ DO ESPIRITO SANTO,1136,,08440-470,+55 11 2961-3135,,,,35181791,CR.P.CONV
1229,MAURICIO GOULART EMEF,RUA RENE DE TOLEDO,700,,08471-740,+55 11 2964-8938,+55 11 2282-0040,+55 11 2576-0390,,35091406,EMEF
1230,CENTRO ATEND SOCIO-EDUC ADOLESC - VILA CONCEICAO-UI,RUA JEAN LACOME,78,,08150-586,+55 11 2514-7122,,,,35559738,FEBEM-UI
1231,CENTRO ATEND SOCIO-EDUC ADOLESC - VILA CONCEICAO-UI,RUA JEAN LACOME,78,,08150-586,+55 11 2514-7122,,,,35559748,FEBEM-UI
1232,DANIEL COMBONI II CEI INDIRETO,RUA ANGUERETA,99,,08151-270,+55 11 2035-8427,,,,35307968,CEI INDIR
1233,BELEM CENTRO DE EDUCACAO INFANTIL,EST DOM JOAO NERY,1021,,08110-000,,,,,35416939,CR.P.CONV
1234,VALDIR AZEVEDO EMEI,RUA INACIO MONTEIRO,333,,08490-000,+55 11 2555-5115,+55 11 2555-2403,+55 11 2555-2403,,35092769,EMEI
1235,TUQUINHA IV CENTRO DE EDUCACAO INFANTIL,R FAISCADORES,135,,08450-250,+55 11 2557-5144,,+55 11 2557-6462,,35444959,CR.P.CONV
1236,CRIANCA E VIDA CEI,RUA COUTINHO E MELO,180,,08411-090,+55 11 2553-3331,,,,35442653,CR.P.CONV
1237,NENEN VITORIA CENTRO DE EDUCACAO INFANTIL,R CABOCLA DA LUA NOVA,37,,08474-160,+55 11 2285-6014,,,,35438698,CR.P.CONV
1238,WILSON ROBERTO SIMONINI PROF,R JOAO CORREIA DE MAGALHAES,200,,08151-260,+55 11 2035-1820,,,e044349a@educacao.sp.gov.br,35044349,EE
1239,ANJINHOS DE DEUS CEI,RUA SANTA MARIA DE TRASTEVERE,07,,08490-590,+55 11 2285-6559,,,,35435247,CR.P.CONV
1240,DELTA SIGMA NUCLEO DE RECREACAO EDUCACIONAL INFANTIL,R ANGUERETA,136,,08151-270,+55 11 2035-3947,,,delta-sigma@uol.com.br,35500902,EP
1241,NOVA CRUZEIRO CENTRO DE EDUCACAO NFANTIL,R NOVO CRUZEIRO,391,,08441-060,,,,,35495451,CEI INDIR
1242,MARIO BENI DEPUTADO EMEI,RUA SARA KUBITSCHER,258,,08474-000,+55 11 2282-5644,+55 11 2282-2136,+55 11 2282-2361,,35076173,EMEI
1243,MARISA MORETTI CAMARA PROFESSORA EMEF,R AMPARO DA SERRA,SN,,08151-300,,,,,35408608,EMEF
1244,EUZEBIO ROCHA FILHO EMEF,RUA AMPARO DA SERRA,SN,,08151-300,+55 11 2035-4242,+55 11 2035-1789,+55 11 2514-7520,,35200037,EMEF
1245,ROSARITA TORKOMIAN PROFA,R ALTOLANDIA,140,,08151-280,+55 11 2035-1914,+55 11 2035-6954,+55 11 2035-1914,e909178a@educacao.sp.gov.br,35909178,EE
1246,CIDADE TIRADENTES I EMEI,R MOACIR GOMES DE ALMEIDA,SN,,08490-640,+55 11 2153-3282,,,,35480459,EMEI
1247,CORUJINHA CENTRO DE EDUCACAO INFANTIL,R SAO VALFREDO,8,,08490-580,,,,,35446701,CR.P.CONV
1248,ANTONIO PEREIRA IGNACIO EMEF,RUA SARA KUBITSHECK,186,,08474-000,+55 11 2964-9078,+55 11 2282-0521,,,35092952,EMEF
1249,JUSCELINO KUBITSCHEK DE OLIVEIRA CRECHE MUNICIPAL,RUA PEDRO DE SEABRA,80,,08461-380,+55 11 2556-5025,+55 11 2554-4155,,,35237668,CEI DIRET
1250,AMIGOS DA CIDADE I CRECHE PARTICULAR CONVENIADA,R JOAO CORREIA DE MAGALHAES,33,,08151-260,,,,,35350000,CR.P.CONV
1251,AQUILINO RIBEIRO,R ONOFRE LEITE MEIRELLES,1,,08461-620,+55 11 2555-2788,+55 11 2555-6909,,e904302a@educacao.sp.gov.br,35904302,EE
1252,YVETTE ORTEGA CEI,R PERO PERES,10,,08460-020,+55 11 2016-9087,,,,35408268,CR.P.CONV
1253,OLHAR ANGELICAL II CENTRO DE EDUCACAO INFANTIL,R ARQUITETO PROFESSOR CHAVES,01,,08474-135,,,,,35477771,CR.P.CONV
1254,AMOR PERFEITO CENTRO DE EDUCACAO INFANTIL,R REMO FORLI,04,,08470-350,+55 11 2854-9086,,,,35478386,CR.P.CONV
1255,PODER E QUERER CEI,RUA AREIA DA AMPULHETA,345,,08474-110,+55 11 2282-2416,,,,35435582,CR.P.CONV
1256,JOSE PROFETA MARCILINO CEI,RUA IRMAOS MURGEL,634,,08412-030,+55 11 2552-7677,,,,35407896,CR.P.CONV
1257,CAMINHAR E CRESCER CEI PARTICULAR CONVENIADA,R ANTONIO THADEO,697,,08450-160,,,,,35432945,CR.P.CONV
1258,MARILIA SANTOS CARVALHO DE POLILLO PROFESSORA,R ISABELA,363,,08440-520,+55 11 2552-4252,,,e444121a@educacao.sp.gov.br,35444121,EE
1259,VILA AIMORE CEI,RUA SIMAO RODRIGUES MOREIRA,SN,,08180-500,+55 11 2581-5037,,,,35283289,CEI DIRET
1260,HELENA LOPES SANTANA DA SILVA PROFA EMEI,RUA ANDES,851,,08440-180,+55 11 2554-4458,+55 11 2557-1909,+55 11 2554-4458,,35207871,EMEI
1261,CANTINHO FELIZ CEI,RUA DOUTOR JOAO LEAL DA COSTA,273,,08461-460,+55 11 2556-7973,,,,35393061,CR.P.CONV
1262,LUZ COLEGIO EVANGELICO,RUA MONTE CAMBERELA,211,,08110-260,+55 11 2561-3186,,,,35164732,EP
1263,SOL RADIANTE CENTRO DE EDUCACAO INFANTIL,R ERNESTINA LESINA,51,,08470-260,+55 11 2282-5331,,,,35443670,CR.P.CONV
1264,JARDIM CAMPOS CRECHE MUNICIPAL,RUA ILHA DE MARUI,32,,08151-710,+55 11 2035-3744,,+55 11 2035-3744,,35237292,CEI DIRET
1265,RAFA GIRE CEI,RUA DOS TEXTEIS,662,,08490-600,+55 11 2516-0606,,,,35429302,CR.P.CONV
1266,ENCANTADO CENTRO DE EDUCACAO INFANTIL,R CHAPADA DA DIAMANTINA,125,,08450-150,,,,,35443323,CR.P.CONV
1267,CAMINHO DOURADO CRECHE PARTICULAR CONVENIADA,R MANUEL BARBALHO DE LIMA,14,,08110-330,,,,,35350126,CR.P.CONV
1268,VOVO ANNA GOMES CENTRO DE EDUCACAO INFANTIL,R ARDOSIA,132,,08440-440,+55 11 2153-6902,,,,35480964,CR.P.CONV
1269,JOAQUIM GOUVEIA FRANCO JUNIOR VEREADOR CRECHE MUNICIPAL,RUA ARDOSIA,8,,08440-440,+55 11 2554-2652,+55 11 2557-9947,+55 11 2557-9947,,35237449,CEI DIRET
1270,AGUA AZUL PAULO RENATO COSTA SOUZA PROF CEU,AV DOS METALURGICOS,1260,,08471-000,,,,,35455556,CEU CLEC
1271,VITTA VIVACE COLEGIO UNIDADE II,R ALARICO DE TOLEDO PIZA,156,,08110-180,+55 11 2568-0877,,,,35187185,EP
1272,OSWALDO ARANHA BANDEIRA DE MELLO EMEFM,AV DOS METALURGICOS,1155,,08471-000,,+55 11 2282-2125,+55 11 2964-9382,,35091424,EMEFM
1273,ANTONIA E ARTUR BEGBIE EMEF,RUA ILHA DE MARUI,100,,08151-710,+55 11 2514-7513,+55 11 2035-4211,,,35055585,EMEF
1274,IDEMIA DE GODOI PROFA EMEF,RUA ANDES,807,,08440-180,+55 11 2554-4580,+55 11 2557-1945,+55 11 2557-1945,,35068718,EMEF
1275,CIDADE TIRADENTES CRECHE MUNICIPAL,RUA SANTO RIZZO,122,,08470-250,+55 11 2964-8118,+55 11 2285-5151,+55 11 2285-5151,,35237589,CEI DIRET
1276,PRINCIPE DA PAZ CENTRO DE EDUCACAO INFANTIL,R DOUTOR VIRGILIO MAGANO,299,,08461-390,,,,,35468551,CR.P.CONV
1277,CIDADE TIRADENTES ETEC DE,R IGARAPE AGUA AZUL,70,,08485-310,,,,,35428905,PAULA SOUZA
1278,SEVERINO FABRIANI PARA CRIANCA SURDA ESCOLA ED ESPECIAL,RUA ODILON CHAVES,39,,08150-560,+55 11 2035-1824,,,,35146651,PRIVADA - FILANTRÓPICA
1279,SERGIO ROCHA KIEHL PROFESSOR,AV DOUTOR GUILHERME DE ABREU SODRE,1503,,08490-010,+55 11 2555-2122,+55 11 2556-6030,+55 11 2555-2122,e916785a@educacao.sp.gov.br,35916785,EE
1280,IRACI SANTANA CRECHE PARTICULAR CONVENIADA,RUA CATU,184,,08440-330,+55 11 2557-8985,+55 11 6554-2466,,,35304633,CR.P.CONV
1281,ANTONIO D'AVILA PROF EMEF,RUA IGARAPE AGUA AZUL,1259,,08485-310,+55 11 2282-1569,+55 11 2964-9381,+55 11 2516-0371,,35062789,EMEF
1282,ENCARNACAO GIMENEZ MARTINEZ CEI CONVENIADO,R QUINTA DO PACO,277,,08411-280,+55 11 2552-7987,,,,35414098,CR.P.CONV
1283,MARGARIDA MARIA ALVES EMEI,RUA SANTO RISO,10,,08470-250,+55 11 2964-6039,+55 11 2964-0997,+55 11 2282-2117,,35091397,EMEI
1284,NAZARE CRECHE MUNICIPAL,RUA DOS MASSEIROS,140,,08152-060,+55 11 2572-2622,+55 11 2511-8122,+55 11 2511-8122,,35237073,CEI DIRET
1285,PAULO SARASATE GOVERNADOR,R INACIO PINTO LIMA,199,GUAIANASES,08490-020,+55 11 2555-2982,+55 11 2555-2305,+55 11 2555-2982,e036812a@educacao.sp.gov.br,35036812,EE
1286,MARIO KOZEL FILHO,R TIETE,49,,08180-410,+55 11 2581-4316,+55 11 2581-4500,+55 11 2581-4316,e002859a@educacao.sp.gov.br,35002859,EE
1287,SERGIO ESTANISLAU CAMARGO,R OTELO AUGUSTO RIBEIRO,1309,,08412-000,+55 11 2557-6088,+55 11 2551-9442,,e914712a@educacao.sp.gov.br,35914712,EE
1288,AMARAL E TOLENTINO CEI PARTICULAR CONVENIADA,R ERNESTO GOULD,30,,08470-230,,,,,35445083,CR.P.CONV
1289,OLIVEIRA TELLES COLEGIO UNIDADE III,R OTELO AUGUSTO RIBEIRO,579,,08412-000,+55 11 2961-2001,,,,35806286,EP
1290,FRANK DUFF CEI INDIRETA,R FREGUESIA DE SAO ROMAO,312,,08180-150,+55 11 2581-7723,,,,35308900,CEI INDIR
1291,TOMAS GALHARDO EMEI,RUA INACIO PINTO LIMA,79,,08490-020,+55 11 2555-3256,+55 11 2555-2757,+55 11 2555-3256,,35052772,EMEI
1292,ERNESTO CERRETI CRECHE PARTICULAR CONVENIADA,R ERNESTO CERRETI,412,,08470-220,,,,,35438534,CR.P.CONV
1293,MAYARA ESPERANCA E VIDA CENTRO DE EDUCACAO CONVENIADA,RUA OTELO AUGUSTO RIBEIRO,556,,08412-000,+55 11 2552-4605,,,,35432271,CR.P.CONV
1294,PALMARINO CALABREZ COLEGIO,R OTELO AUGUSTO RIBEIRO,411,,08412-000,+55 11 2016-9600,,+55 11 2551-9443,secretaria@palmarino.com.br,35102258,EP
1295,RUY DE MELLO JUNQUEIRA,AV DOS METALURGICOS,150,,08471-000,+55 11 2964-8371,+55 11 2964-3131,+55 11 2964-3131,e920277a@educacao.sp.gov.br,35920277,EE
1296,CONJUNTO PRESTES MAIA CRECHE MUNICIPAL,RUA INACIO PINTO LIMA,16,,08490-020,+55 11 2555-4155,+55 11 2555-0559,,,35237383,CEI DIRET
1297,ANJO MIGUEL CENTRO DE EDUCACAO INFANTIL,RUA GENERAL AMERICANO FREIRE,70,,08440-300,+55 11 2552-1396,,,,35334364,CR.P.CONV
1298,MARIA ELISABETE LIMA MOTA CEI,RUA IGARAPE DA MISSAO,100,,08485-010,+55 11 2258-5755,,,,35806924,CEI INDIR
1299,SEBASTIAO FARIA ZIMBRES PROFESSOR,R QUINTA DO PACO,45,,08411-280,+55 11 2557-9167,+55 11 2557-1248,,e003268a@educacao.sp.gov.br,35003268,EE
1300,HENRIQUE SMITH BAYMA DR,R SALSA PARRILHA,SN,,08180-310,+55 11 2581-7659,+55 11 2581-7536,+55 11 2581-7659,e037357a@educacao.sp.gov.br,35037357,EE
1301,MUNDO INFANTIL CEI,RUA DARCI MANO,269,,08440-400,+55 11 3636-4870,,,,35438397,CR.P.CONV
1302,MARIA VERA LOMBARDI SIQUEIRA PROFA,R JOSE ALEXANDRE MACHADO,619,,08160-460,+55 11 2561-9814,+55 11 2963-0852,+55 11 2561-9814,e910259a@educacao.sp.gov.br,35910259,EE
1303,JARDIM SILVA TELLES CRECHE MUNICIPAL,RUA JOSE ALEXANDRE MACHADO,587,,08160-460,+55 11 2561-1647,,+55 11 2561-1647,,35237309,CEI DIRET
1304,VENCE COM DEUS CENTRO DE EDUCACAO INFANTIL,R ARNALDO BONAVENTURA,127,,08470-210,+55 11 7721-0374,,,,35441296,CR.P.CONV
1305,AGUA AZUL CEU EMEF,AV DOS METALURGICOS,SN,,08471-000,+55 11 2282-7671,+55 11 2285-0335,,,35298177,CEU EMEF
1306,IRENE MANKE MARQUES PROFESSORA CEU EMEI,RUA DOS METALURGICOS,SN,,08471-000,+55 11 2282-7569,,,,35298189,CEU EMEI
1307,AGUA AZUL CEU CEI,RUA DOS METALURGICOS,SN,,08471-000,+55 11 2282-7157,,+55 11 6282-7157,,35298190,CEU CEI
1308,HENRIQUE FELIPE COSTA - HENRICAO EMEF,RUA PATAJUBA,18,,08160-090,+55 11 2035-2612,+55 11 2035-4244,+55 11 2035-2612,,35085558,EMEF
1309,LUIZA HELENA DE BARROS EMEI,RUA PATAJUBA,8,,08160-090,+55 11 2035-3777,+55 11 2034-0207,,,35087166,EMEI
1310,VINTE E CINCO DE JANEIRO EMEF,RUA CARANAIBA,58,,08412-010,+55 11 2557-8121,+55 11 2557-1953,+55 11 2557-1953,,35055281,EMEF
1311,LAR FELIZ CRECHE PARTICULAR CONVENIADA,RUA COUTINHO E MELO,465,,08411-090,+55 11 2553-2706,+55 11 2523-0567,,,35288925,CR.P.CONV
1312,DOCE SABER CENTRO DE CONVIVENCIA,R SERRA DO CABURAI,100 A,,08412-140,,,,,35407318,CR.P.CONV
1313,PAZ NOS VALES CEI,R PIRES DE AVILA,13/17,,08461-330,,,,,35414232,CR.P.CONV
1314,ARTURO DE ANGELIS MAESTRO CRECHE MUNICIPAL,RUA SANTO ANTONIO DE ENTRE RIOS,25,,08151-400,+55 11 2566-1980,,,,35237188,CEI DIRET
1315,AMADOR DOS SANTOS FERNANDES PROF,R JOAO MENDES DE CARVALHO,85,,08150-450,+55 11 2035-9515,+55 11 2035-8688,+55 11 2035-8688,e923539a@educacao.sp.gov.br,35923539,EE
1316,JOSE DE ALENCAR EMEI,RUA ALICIO CLARA SIMEAO,251,,08160-580,+55 11 2567-2626,,+55 11 2567-0009,,35052966,EMEI
1317,MARIA CONCEICAO MONTEIRO AYRES PROFA CEI DIRETO,AV DOUTOR GUILHERME DE ABREU SODRE,323,,08490-010,+55 11 2518-4913,+55 11 2555-6469,,,35279328,CEI DIRET
1318,LUCIA PRESTES MOREIRA CEI,R CORONEL MANUEL MACHADO,98 A,,08411-145,+55 11 8365-5709,,,,35414049,CR.P.CONV
